"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"LV",2000,3241000.25,2268700,4213300,0,0
"LV",2001,3246499.08282,2272549,4220448,0,0
"LV",2002,3251997.91564,2276398,4227597,0,0
"LV",2003,3257496.74846,2280247,4234745,0,0
"LV",2004,3262995.58128,2284096,4241894,0,0
"LV",2005,3268494.4141,2287946,4249042,0,0
"LV",2006,3275299.78596,2292709,4257889,0,0
"LV",2007,3282105.15782,2297473,4266736,0,0
"LV",2008,3288910.52968,2302237,4275583,0,0
"LV",2009,3295715.90154,2307001,4284430,0,0
"LV",2010,3302521.2734,2311764,4293277,0,0
"LV",2011,3309250.62966,2316475,4302025,0,0
"LV",2012,3315979.98592,2321185,4310773,0,0
"LV",2013,3322709.34218,2325896,4319522,0,0
"LV",2014,3329438.69844,2330607,4328270,0,0
"LV",2015,3336168.0547,2335317,4337018,0,0
"LV",2016,3339349.56564,2337544,4341154,0,0
"LV",2017,3342531.07658,2339771,4345290,0,0
"LV",2018,3345712.58752,2341998,4349426,0,0
"LV",2019,3348894.09846,2344225,4353562,0,0
"LV",2020,3352075.6094,2346452,4357698,0,0
"LV",2021,3352168.42814,2346517,4357818,0,0
"LV",2022,3352261.24688,2346582,4357939,0,0
"LV",2023,3352354.06562,2346647,4358060,0,0
"LV",2024,3352446.88436,2346712,4358180,0,0
"LV",2025,3352539.7031,2346777,4358301,0,0
"LV",2026,3359196.34686,2351437,4366955,0,0
"LV",2027,3365852.99062,2356097,4375608,0,0
"LV",2028,3372509.63438,2360756,4384262,0,0
"LV",2029,3379166.27814,2365416,4392916,0,0
"LV",2030,3385822.9219,2370076,4401569,0,0
"LV",2031,3393018.63128,2375113,4410924,0,0
"LV",2032,3400214.34066,2380150,4420278,0,0
"LV",2033,3407410.05004,2385187,4429633,0,0
"LV",2034,3414605.75942,2390224,4438987,0,0
"LV",2035,3421801.4688,2395261,4448341,0,0
"LV",2036,3429304.8563,2400513,4458096,0,0
"LV",2037,3436808.2438,2405765,4467850,0,0
"LV",2038,3444311.6313,2411018,4477605,0,0
"LV",2039,3451815.0188,2416270,4487359,0,0
"LV",2040,3459318.4063,2421522,4497113,0,0
"LV",2041,3467131.3688,2426991,4507270,0,0
"LV",2042,3474944.3313,2432461,4517427,0,0
"LV",2043,3482757.2938,2437930,4527584,0,0
"LV",2044,3490570.2563,2443399,4537741,0,0
"LV",2045,3498383.2188,2448868,4547898,0,0
"LV",2046,3506377.60004,2454464,4558290,0,0
"LV",2047,3514371.98128,2460060,4568683,0,0
"LV",2048,3522366.36252,2465656,4579076,0,0
"LV",2049,3530360.74376,2471252,4589468,0,0
"LV",2050,3538355.125,2476848,4599861,0,0
"LV",2051,3546363.08126,2482454,4610272,0,0
"LV",2052,3554371.03752,2488059,4620682,0,0
"LV",2053,3562378.99378,2493665,4631092,0,0
"LV",2054,3570386.95004,2499270,4641503,0,0
"LV",2055,3578394.9063,2504876,4651913,0,0
"LV",2056,3585790.8813,2510053,4661528,0,0
"LV",2057,3593186.8563,2515230,4671142,0,0
"LV",2058,3600582.8313,2520407,4680757,0,0
"LV",2059,3607978.8063,2525585,4690372,0,0
"LV",2060,3615374.7813,2530762,4699987,0,0
"LV",2061,3620279.58754,2534195,4706363,0,0
"LV",2062,3625184.39378,2537629,4712739,0,0
"LV",2063,3630089.20002,2541062,4719115,0,0
"LV",2064,3634994.00626,2544495,4725492,0,0
"LV",2065,3639898.8125,2547929,4731868,0,0
"LV",2066,3640859.875,2548601,4733117,0,0
"LV",2067,3641820.9375,2549274,4734367,0,0
"LV",2068,3642782,2549947,4735616,0,0
"LV",2069,3643743.0625,2550620,4736865,0,0
"LV",2070,3644704.125,2551292,4738115,0,0
