Label;count
Forest land remaining Forest land;189302
Forest land converted to Artificial land;2782
Cropland converted to Forest land;280883
Cropland remaining Cropland;150204
Cropland converted to Grassland;1211
Cropland converted to Artificial land;5646
Cropland converted to Residual land;3081
Grassland converted to Forest land;876
Grassland remaining Grassland;336
Grassland converted to Artificial land;1
Grassland converted to Residual land;1
Artificial land remaining Artificial land;67619
Residual land remaining Residual land;184164
