Region;Code;Label;count
LV00;FORFOR;Forest land remaining Forest land;3461941
LV00;CRPFOR;Cropland converted to Forest land;9
LV00;CRPCRP;Cropland remaining Cropland;1859799
LV00;CRPGRS;Cropland converted to Grassland;646
LV00;CRPART;Cropland converted to Artificial land;12040
LV00;CRPRES;Cropland converted to Residual land;1239
LV00;GRSCRP;Grassland converted to Cropland;562
LV00;GRSGRS;Grassland remaining Grassland;675354
LV00;GRSART;Grassland converted to Artificial land;7347
LV00;GRSRES;Grassland converted to Residual land;9
LV00;ARTART;Artificial land remaining Artificial land;103755
LV00;RESRES;Residual land remaining Residual land;8767
