Region;Code;Label;count
CZ01;FORFOR;Forest land remaining Forest land;4530
CZ01;CRPCRP;Cropland remaining Cropland;15864
CZ01;CRPGRS;Cropland converted to Grassland;7
CZ01;CRPART;Cropland converted to Artificial land;418
CZ01;GRSGRS;Grassland remaining Grassland;556
CZ01;GRSART;Grassland converted to Artificial land;33
CZ01;ARTART;Artificial land remaining Artificial land;21615
CZ01;RESRES;Residual land remaining Residual land;34
CZ02;FORFOR;Forest land remaining Forest land;321411
CZ02;FORART;Forest land converted to Artificial land;354
CZ02;CRPCRP;Cropland remaining Cropland;637339
CZ02;CRPART;Cropland converted to Artificial land;9685
CZ02;GRSGRS;Grassland remaining Grassland;43364
CZ02;GRSART;Grassland converted to Artificial land;221
CZ02;ARTART;Artificial land remaining Artificial land;71584
CZ02;RESRES;Residual land remaining Residual land;2503
CZ03;FORFOR;Forest land remaining Forest land;708183
CZ03;FORART;Forest land converted to Artificial land;546
CZ03;CRPCRP;Cropland remaining Cropland;674459
CZ03;CRPGRS;Cropland converted to Grassland;8563
CZ03;CRPART;Cropland converted to Artificial land;6742
CZ03;GRSGRS;Grassland remaining Grassland;262718
CZ03;GRSART;Grassland converted to Artificial land;120
CZ03;ARTART;Artificial land remaining Artificial land;57073
CZ03;RESRES;Residual land remaining Residual land;6792
CZ04;FORFOR;Forest land remaining Forest land;344666
CZ04;CRPCRP;Cropland remaining Cropland;302883
CZ04;CRPGRS;Cropland converted to Grassland;1430
CZ04;CRPART;Cropland converted to Artificial land;1371
CZ04;GRSGRS;Grassland remaining Grassland;135412
CZ04;GRSART;Grassland converted to Artificial land;78
CZ04;ARTART;Artificial land remaining Artificial land;42219
CZ04;RESRES;Residual land remaining Residual land;8444
CZ05;FORFOR;Forest land remaining Forest land;429227
CZ05;CRPCRP;Cropland remaining Cropland;563853
CZ05;CRPART;Cropland converted to Artificial land;4875
CZ05;GRSGRS;Grassland remaining Grassland;150113
CZ05;GRSART;Grassland converted to Artificial land;401
CZ05;ARTART;Artificial land remaining Artificial land;79362
CZ05;RESRES;Residual land remaining Residual land;3827
CZ06;FORFOR;Forest land remaining Forest land;417151
CZ06;FORART;Forest land converted to Artificial land;671
CZ06;CRPCRP;Cropland remaining Cropland;826918
CZ06;CRPART;Cropland converted to Artificial land;6391
CZ06;GRSGRS;Grassland remaining Grassland;53398
CZ06;GRSART;Grassland converted to Artificial land;2163
CZ06;ARTART;Artificial land remaining Artificial land;75905
CZ06;RESRES;Residual land remaining Residual land;1056
CZ07;FORFOR;Forest land remaining Forest land;359518
CZ07;FORART;Forest land converted to Artificial land;65
CZ07;CRPCRP;Cropland remaining Cropland;393966
CZ07;CRPART;Cropland converted to Artificial land;7472
CZ07;GRSGRS;Grassland remaining Grassland;88446
CZ07;GRSART;Grassland converted to Artificial land;364
CZ07;ARTART;Artificial land remaining Artificial land;62278
CZ07;RESRES;Residual land remaining Residual land;4519
CZ08;FORFOR;Forest land remaining Forest land;196912
CZ08;FORART;Forest land converted to Artificial land;327
CZ08;CRPCRP;Cropland remaining Cropland;206464
CZ08;CRPGRS;Cropland converted to Grassland;1695
CZ08;CRPART;Cropland converted to Artificial land;7029
CZ08;GRSGRS;Grassland remaining Grassland;71699
CZ08;ARTART;Artificial land remaining Artificial land;47905
CZ08;RESRES;Residual land remaining Residual land;418
