Region,Year,ArableMin,ArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax,NewEnergyMin,NewEnergyMax
FR00,2010,15586760,23380140,987462,1481193,7675956,11513934,0,0
FR00,2011,15643340,23465010,978291,1467437,7631270,11446905,0,0
FR00,2012,15699920,23549880,969120,1453681,7586585,11379877,0,0
FR00,2013,15756500,23634750,959950,1439925,7541899,11312849,0,0
FR00,2014,15813080,23719620,950779,1426169,7497214,11245821,0,0
FR00,2015,15869660,23804491,941608,1412413,7452528,11178793,0,0
FR00,2016,15839247,23758871,925140,1387711,7435976,11153965,0,0
FR00,2017,15808833,23713250,908673,1363009,7419424,11129137,0,0
FR00,2018,15778420,23667630,892205,1338307,7402872,11104309,0,0
FR00,2019,15748007,23622010,875737,1313606,7386320,11079481,0,0
FR00,2020,15717593,23576390,859269,1288904,7369768,11054653,0,0
FR00,2021,15684596,23526894,849134,1273701,7369672,11054509,0,0
FR00,2022,15651599,23477398,838999,1258499,7369577,11054365,0,0
FR00,2023,15618601,23427902,828864,1243296,7369481,11054221,0,0
FR00,2024,15585604,23378406,818729,1228094,7369385,11054078,0,0
FR00,2025,15552607,23328910,808594,1212891,7369289,11053934,0,0
FR00,2026,15520622,23280933,800261,1200392,7369261,11053892,0,0
FR00,2027,15488636,23232955,791929,1187893,7369234,11053851,0,0
FR00,2028,15456651,23184977,783596,1175394,7369206,11053809,0,0
FR00,2029,15424666,23137000,775263,1162895,7369178,11053768,0,0
FR00,2030,15392681,23089022,766931,1150396,7369151,11053726,0,0
FR00,2031,15350591,23025887,758956,1138434,7369176,11053764,0,0
FR00,2032,15308502,22962753,750981,1126472,7369201,11053802,0,0
FR00,2033,15266412,22899618,743006,1114509,7369226,11053839,0,0
FR00,2034,15224322,22836483,735031,1102547,7369251,11053877,0,0
FR00,2035,15182232,22773349,727056,1090585,7369276,11053915,0,0
FR00,2036,15156564,22734846,718792,1078188,7369294,11053942,0,0
FR00,2037,15130896,22696344,710528,1065792,7369312,11053969,0,0
FR00,2038,15105227,22657841,702264,1053396,7369331,11053996,0,0
FR00,2039,15079559,22619339,694000,1041000,7369349,11054023,0,0
FR00,2040,15053891,22580836,685736,1028604,7369367,11054050,0,0
FR00,2041,15017581,22526372,677986,1016980,7369419,11054129,0,0
FR00,2042,14981272,22471908,670237,1005356,7369472,11054208,0,0
FR00,2043,14944962,22417444,662488,993732,7369525,11054287,0,0
FR00,2044,14908653,22362980,654739,982109,7369577,11054366,0,0
FR00,2045,14872344,22308516,646990,970485,7369630,11054445,0,0
FR00,2046,14842991,22264487,639039,958559,7369646,11054470,0,0
FR00,2047,14813639,22220459,631088,946633,7369663,11054495,0,0
FR00,2048,14784287,22176430,623138,934707,7369679,11054519,0,0
FR00,2049,14754934,22132402,615187,922781,7369696,11054544,0,0
FR00,2050,14725582,22088373,607236,910855,7369712,11054569,0,0
FR00,2051,14701083,22051625,599987,899981,7369723,11054584,0,0
FR00,2052,14676584,22014876,592737,889106,7369733,11054600,0,0
FR00,2053,14652085,21978127,585488,878232,7369744,11054616,0,0
FR00,2054,14627586,21941379,578239,867358,7369754,11054631,0,0
FR00,2055,14603087,21904630,570989,856484,7369764,11054647,0,0
FR00,2056,14574977,21862465,564272,846408,7369758,11054637,0,0
FR00,2057,14546867,21820301,557555,836332,7369752,11054628,0,0
FR00,2058,14518757,21778136,550837,826256,7369745,11054618,0,0
FR00,2059,14490647,21735971,544120,816180,7369739,11054608,0,0
FR00,2060,14462537,21693806,537403,806104,7369732,11054599,0,0
FR00,2061,14458028,21687042,530808,796212,7369707,11054560,0,0
FR00,2062,14453518,21680277,524213,786319,7369681,11054521,0,0
FR00,2063,14449008,21673513,517618,776427,7369655,11054483,0,0
FR00,2064,14444499,21666748,511023,766534,7369629,11054444,0,0
FR00,2065,14439989,21659984,504428,756642,7369604,11054406,0,0
FR00,2066,14434505,21651757,498938,748408,7369593,11054389,0,0
FR00,2067,14429020,21643531,493449,740174,7369582,11054373,0,0
FR00,2068,14423536,21635304,487960,731940,7369571,11054357,0,0
FR00,2069,14418052,21627078,482470,723706,7369561,11054341,0,0
FR00,2070,14412568,21618852,476981,715472,7369550,11054325,0,0
FR10,2010,474723,712084,11137,16706,5412,8119,0,0
FR10,2011,473130,709695,10729,16094,5632,8448,0,0
FR10,2012,471536,707305,10322,15483,5852,8778,0,0
FR10,2013,469943,704915,9914,14871,6072,9108,0,0
FR10,2014,468350,702526,9506,14260,6292,9438,0,0
FR10,2015,466757,700136,9099,13648,6512,9768,0,0
FR10,2016,465952,698928,8823,13235,6403,9605,0,0
FR10,2017,465147,697721,8547,12821,6294,9442,0,0
FR10,2018,464342,696513,8271,12407,6186,9279,0,0
FR10,2019,463537,695305,7995,11993,6077,9116,0,0
FR10,2020,462732,694098,7720,11580,5968,8953,0,0
FR10,2021,461666,692500,7497,11246,5881,8822,0,0
FR10,2022,460601,690902,7274,10912,5794,8692,0,0
FR10,2023,459536,689304,7052,10578,5707,8561,0,0
FR10,2024,458471,687707,6829,10244,5620,8430,0,0
FR10,2025,457406,686109,6607,9910,5533,8300,0,0
FR10,2026,456304,684456,6455,9683,5453,8179,0,0
FR10,2027,455201,682802,6304,9456,5372,8058,0,0
FR10,2028,454099,681148,6153,9229,5292,7938,0,0
FR10,2029,452996,679495,6001,9002,5211,7817,0,0
FR10,2030,451894,677841,5850,8775,5131,7696,0,0
FR10,2031,450764,676147,5734,8601,5056,7584,0,0
FR10,2032,449635,674452,5617,8426,4982,7473,0,0
FR10,2033,448505,672758,5501,8252,4907,7361,0,0
FR10,2034,447376,671064,5385,8077,4832,7249,0,0
FR10,2035,446246,669369,5268,7903,4758,7137,0,0
FR10,2036,445331,667997,5168,7753,4689,7033,0,0
FR10,2037,444417,666625,5069,7603,4620,6930,0,0
FR10,2038,443502,665254,4969,7453,4551,6826,0,0
FR10,2039,442588,663882,4869,7304,4481,6722,0,0
FR10,2040,441673,662510,4769,7154,4412,6619,0,0
FR10,2041,440498,660748,4685,7028,4348,6522,0,0
FR10,2042,439324,658986,4601,6901,4284,6426,0,0
FR10,2043,438149,657224,4517,6775,4219,6329,0,0
FR10,2044,436974,655462,4432,6649,4155,6233,0,0
FR10,2045,435800,653700,4348,6523,4091,6136,0,0
FR10,2046,434707,652060,4279,6419,4031,6047,0,0
FR10,2047,433614,650421,4210,6315,3972,5958,0,0
FR10,2048,432521,648782,4141,6212,3912,5868,0,0
FR10,2049,431428,647143,4072,6108,3853,5779,0,0
FR10,2050,430336,645504,4003,6004,3793,5690,0,0
FR10,2051,429334,644002,3944,5916,3738,5607,0,0
FR10,2052,428333,642500,3884,5827,3683,5524,0,0
FR10,2053,427332,640998,3825,5738,3628,5442,0,0
FR10,2054,426331,639497,3766,5649,3572,5359,0,0
FR10,2055,425330,637995,3707,5560,3517,5276,0,0
FR10,2056,424258,636387,3641,5461,3466,5199,0,0
FR10,2057,423186,634779,3575,5363,3415,5122,0,0
FR10,2058,422113,633170,3509,5264,3364,5046,0,0
FR10,2059,421041,631562,3443,5165,3312,4969,0,0
FR10,2060,419969,629954,3377,5066,3261,4892,0,0
FR10,2061,419213,628819,3318,4977,3214,4821,0,0
FR10,2062,418456,627684,3259,4888,3166,4749,0,0
FR10,2063,417700,626550,3200,4800,3119,4678,0,0
FR10,2064,416943,625415,3140,4711,3071,4607,0,0
FR10,2065,416187,624280,3081,4622,3024,4536,0,0
FR10,2066,415527,623291,3041,4562,2980,4470,0,0
FR10,2067,414867,622301,3001,4502,2936,4404,0,0
FR10,2068,414208,621312,2961,4442,2892,4338,0,0
FR10,2069,413548,620322,2921,4382,2848,4272,0,0
FR10,2070,412888,619333,2881,4322,2804,4206,0,0
FR21,2010,1055353,1583030,46020,69030,195203,292804,0,0
FR21,2011,1061381,1592071,44221,66331,191205,286807,0,0
FR21,2012,1067408,1601112,42422,63633,187207,280810,0,0
FR21,2013,1073436,1610154,40623,60935,183208,274813,0,0
FR21,2014,1079463,1619195,38825,58237,179210,268816,0,0
FR21,2015,1085491,1628236,37026,55539,175212,262819,0,0
FR21,2016,1086386,1629579,36762,55143,173467,260200,0,0
FR21,2017,1087281,1630921,36498,54748,171721,257581,0,0
FR21,2018,1088176,1632264,36234,54352,169975,254963,0,0
FR21,2019,1089071,1633607,35971,53956,168229,252344,0,0
FR21,2020,1089966,1634949,35707,53560,166484,249726,0,0
FR21,2021,1089228,1633842,35670,53505,165214,247821,0,0
FR21,2022,1088490,1632736,35632,53449,163944,245917,0,0
FR21,2023,1087753,1631629,35595,53393,162675,244012,0,0
FR21,2024,1087015,1630523,35558,53338,161405,242108,0,0
FR21,2025,1086277,1629416,35521,53282,160136,240204,0,0
FR21,2026,1085519,1628279,35472,53209,158890,238336,0,0
FR21,2027,1084762,1627143,35424,53136,157645,236468,0,0
FR21,2028,1084004,1626006,35375,53062,156400,234600,0,0
