Label;count
Forest land remaining Forest land;3867493
Forest land converted to Artificial land;817
Cropland remaining Cropland;1682629
Cropland converted to Grassland;276392
Cropland converted to Artificial land;12212
Grassland converted to Cropland;132
Grassland remaining Grassland;694773
Grassland converted to Artificial land;2605
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;15116
Residual land converted to Artificial land;570
Residual land remaining Residual land;678843
