Label;count
Forest land remaining Forest land;3867241
Forest land converted to Cropland;54
Forest land converted to Artificial land;1015
Cropland remaining Cropland;1721237
Cropland converted to Grassland;243338
Cropland converted to Artificial land;6658
Grassland converted to Cropland;2410
Grassland remaining Grassland;692411
Grassland converted to Artificial land;2689
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;17717
Residual land converted to Artificial land;575
Residual land remaining Residual land;676237
