Region;Code;Label;count
BL10;FORFOR;Forest land remaining Forest land;2294
BL10;CRPCRP;Cropland remaining Cropland;352
BL10;GRSGRS;Grassland remaining Grassland;42
BL10;ARTART;Artificial land remaining Artificial land;12008
BL21;FORFOR;Forest land remaining Forest land;49488
BL21;CRPCRP;Cropland remaining Cropland;98118
BL21;GRSGRS;Grassland remaining Grassland;40304
BL21;GRSART;Grassland converted to Artificial land;1509
BL21;ARTART;Artificial land remaining Artificial land;78151
BL21;RESRES;Residual land remaining Residual land;2280
BL22;FORFOR;Forest land remaining Forest land;49034
BL22;CRPCRP;Cropland remaining Cropland;104834
BL22;GRSGRS;Grassland remaining Grassland;14892
BL22;GRSART;Grassland converted to Artificial land;764
BL22;ARTART;Artificial land remaining Artificial land;60176
BL22;RESRES;Residual land remaining Residual land;5254
BL23;FORFOR;Forest land remaining Forest land;9768
BL23;CRPCRP;Cropland remaining Cropland;180076
BL23;GRSGRS;Grassland remaining Grassland;24443
BL23;GRSART;Grassland converted to Artificial land;971
BL23;ARTART;Artificial land remaining Artificial land;73843
BL23;RESRES;Residual land remaining Residual land;1384
BL24;FORFOR;Forest land remaining Forest land;19925
BL24;CRPCRP;Cropland remaining Cropland;113679
BL24;GRSGRS;Grassland remaining Grassland;8831
BL24;GRSART;Grassland converted to Artificial land;613
BL24;ARTART;Artificial land remaining Artificial land;64555
BL24;RESRES;Residual land remaining Residual land;189
BL25;FORFOR;Forest land remaining Forest land;7340
BL25;CRPCRP;Cropland remaining Cropland;214121
BL25;GRSGRS;Grassland remaining Grassland;29497
BL25;GRSART;Grassland converted to Artificial land;826
BL25;ARTART;Artificial land remaining Artificial land;55555
BL25;RESRES;Residual land remaining Residual land;1468
BL31;FORFOR;Forest land remaining Forest land;11192
BL31;CRPCRP;Cropland remaining Cropland;68772
BL31;GRSGRS;Grassland remaining Grassland;2394
BL31;GRSART;Grassland converted to Artificial land;603
BL31;ARTART;Artificial land remaining Artificial land;24135
BL31;RESRES;Residual land remaining Residual land;29
BL32;FORFOR;Forest land remaining Forest land;48495
BL32;CRPCRP;Cropland remaining Cropland;208154
BL32;GRSGRS;Grassland remaining Grassland;40809
BL32;GRSART;Grassland converted to Artificial land;88
BL32;ARTART;Artificial land remaining Artificial land;74061
BL32;RESRES;Residual land remaining Residual land;1600
BL33;FORFOR;Forest land remaining Forest land;123156
BL33;CRPCRP;Cropland remaining Cropland;110066
BL33;GRSGRS;Grassland remaining Grassland;70678
BL33;GRSART;Grassland converted to Artificial land;401
BL33;ARTART;Artificial land remaining Artificial land;67590
BL33;RESRES;Residual land remaining Residual land;3006
BL34;FORFOR;Forest land remaining Forest land;237979
BL34;CRPCRP;Cropland remaining Cropland;99935
BL34;GRSGRS;Grassland remaining Grassland;81399
BL34;GRSART;Grassland converted to Artificial land;291
BL34;ARTART;Artificial land remaining Artificial land;23543
BL34;RESRES;Residual land remaining Residual land;695
BL35;FORFOR;Forest land remaining Forest land;132398
BL35;CRPCRP;Cropland remaining Cropland;160069
BL35;GRSGRS;Grassland remaining Grassland;30509
BL35;GRSART;Grassland converted to Artificial land;237
BL35;ARTART;Artificial land remaining Artificial land;39811
BL35;RESRES;Residual land remaining Residual land;199
BL40;FORFOR;Forest land remaining Forest land;94828
BL40;CRPCRP;Cropland remaining Cropland;96507
BL40;GRSGRS;Grassland remaining Grassland;39990
BL40;GRSART;Grassland converted to Artificial land;586
BL40;ARTART;Artificial land remaining Artificial land;23988
