Label;count
Forest land remaining Forest land;666520
Forest land converted to Cropland;73048
Forest land converted to Artificial land;578
Cropland converted to Forest land;292
Cropland remaining Cropland;840514
Cropland converted to Grassland;4
Cropland converted to Artificial land;13581
Grassland converted to Cropland;68137
Grassland remaining Grassland;3798451
Grassland converted to Artificial land;17508
Artificial land remaining Artificial land;111108
Residual land converted to Cropland;92291
Residual land converted to Artificial land;645
Residual land remaining Residual land;74689
